2015-10-14 22:39:53 INFO  InboxProcessingThread:18 - InboxProcessingThread created
2015-10-14 22:39:53 INFO  OutboxProcessingThread:16 - OutboxProcessingThread created
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command ECHO removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command CQ#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command LCWM#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command GMS#4#-1 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command CQ#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command LQWM#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command PMQ#4#-1 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command LCWM#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command GMS#4#-1 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command LCWM#4 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
2015-10-14 22:39:55 INFO  OutboxProcessingThread:25 - Reply removed from outbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:30 - Query with command GMS#4#-1 removed from inbox, size: 0
2015-10-14 22:39:55 INFO  InboxProcessingThread:98 - Reply added to outbox, size: 1
